# Wavelength (nm),Crosssection (cm^2)
0.5,2.9160000000000002e-21
1.5,2.9160000000000002e-21
2.5,2.9160000000000002e-21
3.5,2.9160000000000002e-21
4.5,2.9160000000000002e-21
5.5,2.9160000000000002e-21
6.5,2.9160000000000002e-21
7.5,2.9160000000000002e-21
8.5,2.9160000000000002e-21
9.5,2.9160000000000002e-21
10.5,2.9160000000000002e-21
11.5,2.9160000000000002e-21
12.5,2.9160000000000002e-21
13.5,2.9160000000000002e-21
14.5,2.9160000000000002e-21
15.5,2.9160000000000002e-21
16.5,2.9160000000000002e-21
17.5,2.9160000000000002e-21
18.5,2.9160000000000002e-21
19.5,2.9160000000000002e-21
20.5,2.9160000000000002e-21
21.5,2.9160000000000002e-21
22.5,2.9160000000000002e-21
23.5,2.9160000000000002e-21
24.5,2.9160000000000002e-21
25.5,2.9160000000000002e-21
26.5,2.9160000000000002e-21
27.5,2.9160000000000002e-21
28.5,2.9160000000000002e-21
29.5,2.9160000000000002e-21
30.5,2.9160000000000002e-21
31.5,2.9160000000000002e-21
32.5,2.9160000000000002e-21
33.5,2.9160000000000002e-21
34.5,2.9160000000000002e-21
35.5,2.9160000000000002e-21
36.5,2.9160000000000002e-21
37.5,2.9160000000000002e-21
38.5,2.9160000000000002e-21
39.5,2.9160000000000002e-21
40.5,2.9160000000000002e-21
41.5,2.9160000000000002e-21
42.5,2.9160000000000002e-21
43.5,2.9160000000000002e-21
44.5,2.9160000000000002e-21
45.5,2.9160000000000002e-21
46.5,2.9160000000000002e-21
47.5,2.9160000000000002e-21
48.5,2.9160000000000002e-21
49.5,2.9160000000000002e-21
50.5,2.9160000000000002e-21
51.5,2.9160000000000002e-21
52.5,2.9160000000000002e-21
53.5,2.9160000000000002e-21
54.5,2.9160000000000002e-21
55.5,2.9160000000000002e-21
56.5,2.9160000000000002e-21
57.5,2.9160000000000002e-21
58.5,2.9160000000000002e-21
59.5,2.9160000000000002e-21
60.5,2.9160000000000002e-21
61.5,2.9160000000000002e-21
62.5,2.9160000000000002e-21
63.5,2.9160000000000002e-21
64.5,2.9160000000000002e-21
65.5,2.9160000000000002e-21
66.5,2.9160000000000002e-21
67.5,2.9160000000000002e-21
68.5,2.9160000000000002e-21
69.5,2.9160000000000002e-21
70.5,2.9160000000000002e-21
71.5,2.9160000000000002e-21
72.5,2.9160000000000002e-21
73.5,2.9160000000000002e-21
74.5,2.9160000000000002e-21
75.5,2.9160000000000002e-21
76.5,2.9160000000000002e-21
77.5,2.9160000000000002e-21
78.5,2.9160000000000002e-21
79.5,2.9160000000000002e-21
80.5,2.9160000000000002e-21
81.5,2.9160000000000002e-21
82.5,2.9160000000000002e-21
83.5,2.9160000000000002e-21
84.5,2.9160000000000002e-21
85.5,2.9160000000000002e-21
86.5,2.9160000000000002e-21
87.5,2.9160000000000002e-21
88.5,2.9160000000000002e-21
89.5,2.9160000000000002e-21
90.5,2.9160000000000002e-21
91.5,2.9160000000000002e-21
92.5,2.9160000000000002e-21
93.5,2.9160000000000002e-21
94.5,2.9160000000000002e-21
95.5,2.9160000000000002e-21
96.5,2.9160000000000002e-21
97.5,2.9160000000000002e-21
98.5,2.9160000000000002e-21
99.5,2.9160000000000002e-21
100.5,2.9160000000000002e-21
101.5,2.9160000000000002e-21
102.5,2.9160000000000002e-21
103.5,2.9160000000000002e-21
104.5,2.9160000000000002e-21
105.5,2.9160000000000002e-21
106.5,2.9160000000000002e-21
107.5,2.9160000000000002e-21
108.5,2.9160000000000002e-21
109.5,2.9160000000000002e-21
110.5,2.9160000000000002e-21
111.5,2.9160000000000002e-21
112.5,2.9160000000000002e-21
113.5,2.9160000000000002e-21
114.5,2.9160000000000002e-21
115.5,2.9160000000000002e-21
116.5,2.9160000000000002e-21
117.5,2.9160000000000002e-21
118.5,2.9160000000000002e-21
119.5,2.9160000000000002e-21
120.5,2.9160000000000002e-21
121.5,2.9160000000000002e-21
122.5,2.9160000000000002e-21
123.5,2.9160000000000002e-21
124.5,2.9160000000000002e-21
125.5,2.9160000000000002e-21
126.5,2.9160000000000002e-21
127.5,2.9160000000000002e-21
128.5,2.9160000000000002e-21
129.5,2.9160000000000002e-21
130.5,2.9160000000000002e-21
131.5,2.9160000000000002e-21
132.5,2.9160000000000002e-21
133.5,2.9160000000000002e-21
134.5,2.9160000000000002e-21
135.5,2.9160000000000002e-21
136.5,2.9160000000000002e-21
137.5,2.9160000000000002e-21
138.5,2.9160000000000002e-21
139.5,2.9160000000000002e-21
140.5,2.9160000000000002e-21
141.5,2.9160000000000002e-21
142.5,2.9160000000000002e-21
143.5,2.9160000000000002e-21
144.5,2.9160000000000002e-21
145.5,2.9160000000000002e-21
146.5,2.9160000000000002e-21
147.5,2.9160000000000002e-21
148.5,2.9160000000000002e-21
149.5,2.9160000000000002e-21
150.5,2.9160000000000002e-21
151.5,2.9160000000000002e-21
152.5,2.9160000000000002e-21
153.5,2.9160000000000002e-21
154.5,2.9160000000000002e-21
155.5,2.9160000000000002e-21
156.5,2.9160000000000002e-21
157.5,2.9160000000000002e-21
158.5,2.9160000000000002e-21
159.5,2.9160000000000002e-21
160.5,2.9160000000000002e-21
161.5,2.9160000000000002e-21
162.5,2.9160000000000002e-21
163.5,2.9160000000000002e-21
164.5,2.9160000000000002e-21
165.5,2.9160000000000002e-21
166.5,2.9160000000000002e-21
167.5,2.9160000000000002e-21
168.5,2.9160000000000002e-21
169.5,2.9160000000000002e-21
170.5,2.9160000000000002e-21
171.5,2.9160000000000002e-21
172.5,2.9160000000000002e-21
173.5,2.9160000000000002e-21
174.5,2.9160000000000002e-21
175.5,2.9160000000000002e-21
176.5,2.9160000000000002e-21
177.5,2.9160000000000002e-21
178.5,2.9160000000000002e-21
179.5,2.9160000000000002e-21
180.5,2.9160000000000002e-21
181.5,2.9160000000000002e-21
182.5,2.9160000000000002e-21
183.5,2.9160000000000002e-21
184.5,2.9160000000000002e-21
185.5,2.9160000000000002e-21
186.5,2.9160000000000002e-21
187.5,2.9160000000000002e-21
188.5,2.9160000000000002e-21
189.5,2.9160000000000002e-21
190.5,2.9160000000000002e-21
191.5,2.9160000000000002e-21
192.5,2.9160000000000002e-21
193.5,2.9160000000000002e-21
194.5,2.9160000000000002e-21
195.5,2.9160000000000002e-21
196.5,2.9160000000000002e-21
197.5,2.9160000000000002e-21
198.5,2.9160000000000002e-21
199.5,2.9160000000000002e-21
200.5,2.9160000000000002e-21
201.5,2.9160000000000002e-21
202.5,2.9160000000000002e-21
203.5,2.9160000000000002e-21
204.5,2.9160000000000002e-21
205.5,2.9160000000000002e-21
206.5,2.9160000000000002e-21
207.5,2.9160000000000002e-21
208.5,2.9160000000000002e-21
209.5,2.9160000000000002e-21
210.5,2.9160000000000002e-21
211.5,2.9160000000000002e-21
212.5,2.9160000000000002e-21
213.5,2.9160000000000002e-21
214.5,2.9160000000000002e-21
215.5,2.9160000000000002e-21
216.5,2.9160000000000002e-21
217.5,2.9160000000000002e-21
218.5,2.9160000000000002e-21
219.5,2.9160000000000002e-21
220.5,2.0402499999999935e-21
221.5,1.2428947368421032e-21
222.5,7.317500000000011e-22
223.5,4.523500000000005e-22
224.5,3.044285714285714e-22
225.5,2.0438095238095275e-22
226.5,1.2228571428571486e-22
227.5,6.142857142857143e-23
228.5,2.5285714285714556e-23
229.5,8.333333333333333e-24
230.5,2e-24
231.5,1e-24
232.5,3.545454545454568e-24
233.5,2.477272727272722e-23
234.5,1.2760869565217537e-22
235.5,5.29347826086955e-22
236.5,1.8077727272727133e-21
237.5,5.077956521739108e-21
238.5,1.192534782608698e-20
239.5,2.387043478260877e-20
240.5,4.172708695652159e-20
241.5,6.603720833333311e-20
242.5,9.797704347826106e-20
243.5,1.3946845833333378e-19
244.5,1.92220125e-19
245.5,2.5779227999999987e-19
246.5,3.39660625e-19
247.5,4.433592399999988e-19
248.5,5.797385200000014e-19
249.5,7.570326800000018e-19
250.5,9.826691599999973e-19
251.5,1.263343923076925e-18
252.5,1.6052458461538447e-18
253.5,1.9993242692307667e-18
254.5,2.4225515000000003e-18
255.5,2.8398549230769257e-18
256.5,3.221780692307686e-18
257.5,3.570722538461534e-18
258.5,3.92472144444444e-18
259.5,4.366809666666665e-18
260.5,4.976149777777789e-18
261.5,5.806602857142865e-18
262.5,6.833625464285721e-18
263.5,7.98180875e-18
264.5,9.150712285714267e-18
265.5,1.0230770428571411e-17
266.5,1.1171296428571441e-17
267.5,1.198534413793103e-17
268.5,1.2719156206896549e-17
269.5,1.3424870344827592e-17
270.5,1.4108986206896536e-17
271.5,1.477695e-17
272.5,1.5385761666666665e-17
273.5,1.5923856666666673e-17
274.5,1.6381925999999994e-17
275.5,1.6777040000000008e-17
276.5,1.712986e-17
277.5,1.7448020967741936e-17
278.5,1.7724193548387094e-17
279.5,1.7924031250000002e-17
280.5,1.8014059677419354e-17
281.5,1.7965621875000002e-17
282.5,1.7774476250000008e-17
283.5,1.746424818181818e-17
284.5,1.70713228125e-17
285.5,1.663040090909092e-17
286.5,1.6167200909090904e-17
287.5,1.5688205294117647e-17
288.5,1.5194892727272726e-17
289.5,1.4673347272727285e-17
290.5,1.411462352941177e-17
291.5,1.352321764705882e-17
292.5,1.2888775294117658e-17
293.5,1.2219322571428562e-17
294.5,1.1511849428571428e-17
295.5,1.0784313333333334e-17
296.5,1.0033505500000001e-17
297.5,9.27535752777777e-18
298.5,8.514612666666653e-18
299.5,7.772904888888902e-18
300.5,7.064556583333327e-18
301.5,6.39713972972974e-18
302.5,5.785995540540554e-18
303.5,5.229844513513505e-18
304.5,4.7313327368421015e-18
305.5,4.2874030270270226e-18
306.5,3.886023105263152e-18
307.5,3.516572315789473e-18
308.5,3.167029710526319e-18
309.5,2.8253022631578906e-18
310.5,2.491289461538466e-18
