# Wavelength (nm),Crosssection (cm^2)
0.5,0.0
1.5,0.0
2.5,0.0
3.5,0.0
4.5,0.0
5.5,0.0
6.5,0.0
7.5,0.0
8.5,0.0
9.5,0.0
10.5,0.0
11.5,0.0
12.5,0.0
13.5,0.0
14.5,0.0
15.5,0.0
16.5,0.0
17.5,0.0
18.5,0.0
19.5,0.0
20.5,0.0
21.5,0.0
22.5,0.0
23.5,0.0
24.5,0.0
25.5,0.0
26.5,0.0
27.5,0.0
28.5,0.0
29.5,0.0
30.5,0.0
31.5,0.0
32.5,0.0
33.5,0.0
34.5,0.0
35.5,0.0
36.5,0.0
37.5,0.0
38.5,0.0
39.5,0.0
40.5,0.0
41.5,0.0
42.5,0.0
43.5,0.0
44.5,2.3618784530386733e-20
45.5,4.7237569060773465e-20
46.5,7.08563535911602e-20
47.5,9.447513812154693e-20
48.5,1.1809392265193367e-19
49.5,1.417127071823204e-19
50.5,1.6533149171270713e-19
51.5,2.911428571428566e-19
52.5,4.75e-19
53.5,6.539999999999996e-19
54.5,8.612699386503067e-19
55.5,1.0687499999999994e-18
56.5,1.05521897810219e-18
57.5,1.0296715328467156e-18
58.5,1.01e-18
59.5,1.01e-18
60.5,1.01e-18
61.5,1.01e-18
62.5,8.73e-19
63.5,7.780724637681157e-19
64.5,5.98e-19
65.5,4.1857894736842133e-19
66.5,8.73e-19
67.5,3.4e-19
68.5,6.9e-19
69.5,1.4346666666667294e-18
70.5,1.2e-18
71.5,8.731666666666668e-19
72.5,2.39e-18
73.5,5.1300000000007346e-18
74.5,9.646666666666453e-19
75.5,1.8725000000001223e-18
76.5,1.310133333333349e-17
77.5,4.562727272727321e-18
78.5,2.7823076923077396e-18
79.5,3.874999999999969e-18
80.5,2.6166666666666712e-18
81.5,1.9558823529411827e-18
82.5,7.971428571428643e-19
83.5,5.07e-19
84.5,8.818749999999988e-19
85.5,1.3499999999999978e-18
86.5,1.456666666666663e-18
87.5,2.6500000000000063e-18
88.5,7.194999999999988e-18
89.5,1.79e-17
90.5,4.146666666666385e-17
91.5,4.08e-17
92.5,2.05e-17
93.5,4.34e-17
94.5,3.96e-17
95.5,4.8099999999998e-17
96.5,2.75e-17
97.5,2.85e-17
98.5,2.0800000000000124e-17
99.5,8.070000000000156e-17
100.5,3.06e-17
101.5,1.94e-17
102.5,1.55e-17
103.5,6.03e-17
104.5,1.1e-17
105.5,1.41e-17
106.5,7.47e-18
107.5,4.61e-17
108.5,1.640000000000074e-17
109.5,6.7e-18
110.5,1.5799999999999278e-17
111.5,3.1666666666666544e-17
112.5,4.5e-17
113.5,2.0500000000000096e-17
114.5,3.7e-18
115.5,2.0133333333332602e-18
116.5,8.666666666666352e-19
117.5,5.333333333333379e-19
118.5,7.20000000000016e-20
119.5,4.66666666666673e-20
120.5,5.65e-20
121.5,7.957894736842083e-20
122.5,8.7e-20
123.5,1.1999999999999999e-19
124.5,1.8e-19
125.5,2.55e-19
126.5,3.3e-19
127.5,4.45e-19
128.5,5.75e-19
129.5,5.55e-19
130.5,8e-19
131.5,1.1e-18
132.5,1.1e-18
133.5,1.1e-18
134.5,6e-19
135.5,5.2e-19
136.5,5.6e-19
137.5,5.2e-19
138.5,6.35e-19
139.5,5.65e-19
140.5,5.325e-19
141.5,5.375e-19
142.5,5.55e-19
143.5,5.85e-19
144.5,6e-19
145.5,6e-19
146.5,6e-19
147.5,6e-19
148.5,6e-19
149.5,5.6e-19
150.5,5e-19
151.5,4.65e-19
152.5,4.65e-19
153.5,4.65e-19
154.5,4e-19
155.5,3.25e-19
156.5,3e-19
157.5,2.8e-19
158.5,2.25e-19
159.5,1.9e-19
160.5,1.7e-19
161.5,1.2999999999999998e-19
162.5,1.0475e-19
163.5,9.425e-20
164.5,8.250000000000001e-20
165.5,6.95e-20
166.5,4.725e-20
167.5,1.575e-20
168.5,0.0
169.5,0.0
170.5,0.0
171.5,0.0
172.5,0.0
173.5,0.0
174.5,0.0
175.5,0.0
176.5,0.0
177.5,0.0
178.5,0.0
179.5,0.0
180.5,0.0
181.5,0.0
182.5,0.0
183.5,0.0
184.5,0.0
185.5,0.0
186.5,0.0
187.5,0.0
188.5,0.0
189.5,0.0
190.5,0.0
191.5,0.0
192.5,0.0
193.5,0.0
194.5,0.0
195.5,0.0
196.5,0.0
197.5,0.0
198.5,0.0
199.5,0.0
200.5,0.0
201.5,0.0
202.5,0.0
203.5,0.0
204.5,0.0
205.5,0.0
206.5,0.0
207.5,0.0
208.5,0.0
209.5,0.0
210.5,0.0
211.5,0.0
212.5,0.0
213.5,0.0
214.5,0.0
215.5,0.0
216.5,0.0
217.5,0.0
218.5,0.0
219.5,0.0
220.5,0.0
221.5,0.0
222.5,0.0
223.5,0.0
224.5,0.0
225.5,0.0
226.5,0.0
227.5,0.0
228.5,0.0
229.5,0.0
230.5,0.0
231.5,0.0
232.5,0.0
233.5,0.0
234.5,0.0
235.5,0.0
236.5,0.0
237.5,0.0
238.5,0.0
239.5,0.0
240.5,0.0
241.5,0.0
242.5,0.0
243.5,0.0
244.5,0.0
245.5,0.0
246.5,0.0
247.5,0.0
248.5,0.0
249.5,0.0
250.5,0.0
251.5,0.0
252.5,0.0
253.5,0.0
254.5,0.0
255.5,0.0
256.5,0.0
257.5,0.0
258.5,0.0
259.5,0.0
260.5,0.0
261.5,0.0
262.5,0.0
263.5,0.0
264.5,0.0
265.5,0.0
266.5,0.0
267.5,0.0
268.5,0.0
269.5,0.0
270.5,0.0
271.5,0.0
272.5,0.0
273.5,0.0
274.5,0.0
275.5,0.0
276.5,0.0
277.5,0.0
278.5,0.0
279.5,0.0
280.5,0.0
281.5,0.0
282.5,0.0
283.5,0.0
284.5,0.0
285.5,0.0
286.5,0.0
287.5,0.0
288.5,0.0
289.5,0.0
290.5,0.0
291.5,0.0
292.5,0.0
293.5,0.0
294.5,0.0
295.5,0.0
296.5,0.0
297.5,0.0
298.5,0.0
299.5,0.0
300.5,0.0
301.5,0.0
302.5,0.0
303.5,0.0
304.5,0.0
305.5,0.0
306.5,0.0
307.5,0.0
308.5,0.0
309.5,0.0
310.5,0.0
311.5,0.0
312.5,0.0
313.5,0.0
314.5,0.0
315.5,0.0
316.5,0.0
317.5,0.0
318.5,0.0
319.5,0.0
320.5,0.0
321.5,0.0
322.5,0.0
323.5,0.0
324.5,0.0
325.5,0.0
326.5,0.0
327.5,0.0
328.5,0.0
329.5,0.0
330.5,0.0
331.5,0.0
332.5,0.0
333.5,0.0
334.5,0.0
335.5,0.0
336.5,0.0
337.5,0.0
338.5,0.0
339.5,0.0
340.5,0.0
341.5,0.0
342.5,0.0
343.5,0.0
344.5,0.0
345.5,0.0
346.5,0.0
347.5,0.0
348.5,0.0
349.5,0.0
350.5,0.0
351.5,0.0
352.5,0.0
353.5,0.0
354.5,0.0
355.5,0.0
356.5,0.0
357.5,0.0
358.5,0.0
359.5,0.0
360.5,0.0
361.5,0.0
362.5,0.0
363.5,0.0
364.5,0.0
365.5,0.0
366.5,0.0
367.5,0.0
368.5,0.0
369.5,0.0
370.5,0.0
371.5,0.0
372.5,0.0
373.5,0.0
374.5,0.0
375.5,0.0
376.5,0.0
377.5,0.0
378.5,0.0
379.5,0.0
380.5,0.0
381.5,0.0
382.5,0.0
383.5,0.0
384.5,0.0
385.5,0.0
386.5,0.0
387.5,0.0
388.5,0.0
389.5,0.0
390.5,0.0
391.5,0.0
392.5,0.0
393.5,0.0
394.5,0.0
395.5,0.0
396.5,0.0
397.5,0.0
398.5,0.0
399.5,0.0
