# Wavelength (nm),Crosssection (cm^2)
0.5,6.4e-20
1.5,9.571999999999998e-19
2.5,6.102222222222219e-19
3.5,4.2542586750788643e-19
4.5,7.850473186119874e-19
5.5,1.1446687697160882e-18
6.5,1.6092281879194624e-18
7.5,2.3307046979865762e-18
8.5,3.0521812080536904e-18
9.5,3.773657718120804e-18
10.5,4.495134228187918e-18
11.5,5.216610738255032e-18
12.5,6.09787234042553e-18
13.5,7.303546099290778e-18
14.5,8.509219858156027e-18
15.5,9.714893617021275e-18
16.5,1.0920567375886523e-17
17.5,1.2126241134751771e-17
18.5,1.3331914893617022e-17
19.5,1.453758865248227e-17
20.5,1.5743262411347518e-17
21.5,1.6948936170212766e-17
22.5,1.8154609929078014e-17
23.5,1.9360283687943262e-17
24.5,2.056595744680851e-17
25.5,2.1542948038176034e-17
26.5,2.2391304347826088e-17
27.5,2.323966065747614e-17
28.5,2.4088016967126193e-17
29.5,2.4936373276776244e-17
30.5,2.57847295864263e-17
31.5,2.6633085896076353e-17
32.5,2.7481442205726404e-17
33.5,2.8329798515376455e-17
34.5,2.917815482502651e-17
35.5,3.0026511134676564e-17
36.5,3.087486744432662e-17
37.5,3.172322375397667e-17
38.5,3.2571580063626726e-17
39.5,3.3419936373276774e-17
40.5,3.426829268292683e-17
41.5,3.511664899257688e-17
42.5,3.596500530222694e-17
43.5,3.6813361611876985e-17
44.5,3.766171792152704e-17
45.5,3.8510074231177094e-17
46.5,3.935843054082715e-17
47.5,4.02067868504772e-17
48.5,4.1055143160127256e-17
49.5,4.190349946977731e-17
50.5,4.2751855779427365e-17
51.5,4.360021208907741e-17
52.5,4.4448568398727467e-17
53.5,4.5296924708377515e-17
54.5,4.614528101802757e-17
55.5,4.6993637327677623e-17
56.5,4.784199363732768e-17
57.5,4.869034994697773e-17
58.5,4.9538706256627786e-17
59.5,5.038706256627784e-17
60.5,5.1235418875927894e-17
61.5,5.208377518557795e-17
62.5,5.2932131495228e-17
63.5,5.2745504840940524e-17
64.5,5.2468879668049793e-17
65.5,5.219225449515906e-17
66.5,5.1915629322268327e-17
67.5,5.163900414937759e-17
68.5,5.136237897648686e-17
69.5,5.1085753803596124e-17
70.5,5.0809128630705394e-17
71.5,5.053250345781466e-17
72.5,5.025587828492393e-17
73.5,4.997925311203319e-17
74.5,4.970262793914246e-17
75.5,4.9426002766251724e-17
76.5,4.9149377593360994e-17
77.5,4.8872752420470264e-17
78.5,4.859612724757953e-17
79.5,4.83195020746888e-17
80.5,4.804287690179806e-17
81.5,4.776625172890733e-17
82.5,4.7489626556016594e-17
83.5,4.7213001383125864e-17
84.5,4.693637621023513e-17
85.5,4.66597510373444e-17
86.5,4.638312586445366e-17
87.5,4.610650069156293e-17
88.5,4.5829875518672195e-17
89.5,4.5553250345781464e-17
90.5,4.5276625172890734e-17
91.5,4.5e-17
92.5,3.9e-17
93.5,3.3e-17
94.5,2.929285714285714e-17
95.5,2.787857142857143e-17
96.5,2.6464285714285713e-17
97.5,2.505e-17
98.5,2.3635714285714284e-17
99.5,2.2221428571428573e-17
100.5,2.0807142857142855e-17
101.5,1.9392857142857144e-17
102.5,1.7978571428571426e-17
103.5,1.6564285714285715e-17
104.5,1.5149999999999997e-17
105.5,1.3735714285714286e-17
106.5,1.2321428571428568e-17
107.5,1.0907142857142857e-17
108.5,1.12e-17
109.5,1.32e-17
110.5,1.39e-17
111.5,1.33e-17
112.5,1.28e-17
113.5,1.24e-17
114.5,1.118e-17
115.5,9.139999999999999e-18
116.5,8.2225e-18
117.5,8.4275e-18
118.5,8.325e-18
119.5,7.915e-18
120.5,8.5825e-18
121.5,1.03275e-17
122.5,1.3225e-17
123.5,1.7275e-17
124.5,2.26e-17
125.5,2.92e-17
126.5,3.23e-17
127.5,3.19e-17
128.5,2.7425000000000003e-17
129.5,1.8875e-17
130.5,1.2674999999999999e-17
131.5,8.825e-18
132.5,8.325e-18
133.5,1.1175000000000001e-17
134.5,1.1785e-17
135.5,1.0155e-17
136.5,9.805e-18
137.5,1.0735e-17
138.5,1.145e-17
139.5,1.195e-17
140.5,1.27e-17
141.5,1.3700000000000001e-17
142.5,1.5825e-17
143.5,1.9075e-17
144.5,1.8875e-17
145.5,1.5225e-17
146.5,1.2899999999999999e-17
147.5,1.19e-17
148.5,1.1499999999999999e-17
149.5,1.1700000000000001e-17
150.5,1.4325e-17
151.5,1.9375e-17
152.5,2.0625e-17
153.5,1.8075e-17
154.5,1.67e-17
155.5,1.65e-17
156.5,1.615e-17
157.5,1.565e-17
158.5,1.56e-17
159.5,1.6e-17
160.5,1.629e-17
161.5,1.647e-17
162.5,1.665e-17
163.5,1.683e-17
164.5,1.701e-17
165.5,1.718e-17
166.5,1.734e-17
167.5,1.75e-17
168.5,1.766e-17
169.5,1.782e-17
170.5,1.725e-17
171.5,1.595e-17
172.5,1.4649999999999998e-17
173.5,1.3349999999999999e-17
174.5,1.205e-17
175.5,1.095e-17
176.5,1.005e-17
177.5,9.15e-18
178.5,8.25e-18
179.5,7.35e-18
180.5,6.2360000000000006e-18
181.5,4.908e-18
182.5,3.58e-18
183.5,2.252e-18
184.5,9.240000000000006e-19
185.5,2.6330000000000003e-19
186.5,2.699e-19
187.5,2.7650000000000003e-19
188.5,2.831e-19
189.5,2.897e-19
190.5,2.8790000000000002e-19
191.5,2.7769999999999997e-19
192.5,2.675e-19
193.5,2.5729999999999997e-19
194.5,2.471e-19
195.5,2.4279999999999997e-19
196.5,2.4440000000000002e-19
197.5,2.46e-19
198.5,2.4760000000000003e-19
199.5,2.492e-19
200.5,2.625e-19
201.5,2.875e-19
202.5,3.1249999999999997e-19
203.5,3.375e-19
204.5,3.625e-19
205.5,3.7599999999999996e-19
206.5,3.78e-19
207.5,3.8e-19
208.5,3.82e-19
209.5,3.8400000000000004e-19
210.5,3.8670000000000003e-19
211.5,3.901e-19
212.5,3.935e-19
213.5,3.9690000000000003e-19
214.5,4.003e-19
215.5,4.014e-19
216.5,4.002e-19
217.5,3.99e-19
218.5,3.978e-19
219.5,3.966e-19
220.5,3.888e-19
221.5,3.744e-19
222.5,3.6e-19
223.5,3.456e-19
224.5,3.312e-19
225.5,3.159e-19
226.5,2.9970000000000003e-19
227.5,2.8349999999999997e-19
228.5,2.673e-19
229.5,2.5109999999999996e-19
230.5,2.335e-19
231.5,2.145e-19
232.5,1.955e-19
233.5,1.7649999999999999e-19
234.5,1.5749999999999998e-19
235.5,1.399e-19
236.5,1.237e-19
237.5,1.0749999999999999e-19
238.5,9.13e-20
239.5,7.509999999999999e-20
240.5,6.496666666666666e-20
241.5,6.09e-20
242.5,1.2984e-19
243.5,1.0552e-19
244.5,8.12e-20
245.5,7.875e-20
246.5,8.816666666666668e-20
247.5,3.65e-20
248.5,9.083333333333333e-20
249.5,7.315e-20
250.5,2.9666666666666666e-20
251.5,3.2400000000000004e-20
252.5,3.5133333333333336e-20
253.5,3.1e-20
254.5,2.0000000000000002e-20
255.5,1.495e-20
256.5,1.585e-20
257.5,1.675e-20
258.5,1.765e-20
259.5,1.855e-20
260.5,1.9149999999999998e-20
261.5,1.945e-20
262.5,1.975e-20
263.5,2.005e-20
264.5,2.035e-20
265.5,2.158e-20
266.5,2.374e-20
267.5,2.59e-20
268.5,2.806e-20
269.5,3.0219999999999996e-20
270.5,3.219e-20
271.5,3.397e-20
272.5,3.5749999999999995e-20
273.5,3.7529999999999996e-20
274.5,3.931e-20
275.5,4.172e-20
276.5,4.476e-20
277.5,4.78e-20
278.5,5.084e-20
279.5,5.388e-20
280.5,5.685e-20
281.5,5.975e-20
282.5,6.265e-20
283.5,6.555e-20
284.5,6.845e-20
285.5,7.109e-20
286.5,7.346999999999999e-20
287.5,7.584999999999999e-20
288.5,7.823e-20
289.5,8.061e-20
290.5,8.328999999999999e-20
291.5,8.627e-20
292.5,8.925e-20
293.5,9.223e-20
294.5,9.521e-20
295.5,9.872999999999999e-20
296.5,1.0279e-19
297.5,1.0685000000000001e-19
298.5,1.1091e-19
299.5,1.1497e-19
300.5,1.219e-19
301.5,1.317e-19
302.5,1.415e-19
303.5,1.513e-19
304.5,1.611e-19
305.5,1.67e-19
306.5,1.69e-19
307.5,1.71e-19
308.5,1.73e-19
309.5,1.7499999999999998e-19
310.5,1.8089999999999999e-19
311.5,1.907e-19
312.5,2.005e-19
313.5,2.103e-19
314.5,2.201e-19
315.5,2.279e-19
316.5,2.337e-19
317.5,2.395e-19
318.5,2.453e-19
319.5,2.511e-19
320.5,2.565e-19
321.5,2.615e-19
322.5,2.665e-19
323.5,2.715e-19
324.5,2.7650000000000003e-19
325.5,2.8100000000000004e-19
326.5,2.8500000000000002e-19
327.5,2.89e-19
328.5,2.93e-19
329.5,2.97e-19
330.5,3.036e-19
331.5,3.128e-19
332.5,3.22e-19
333.5,3.312e-19
334.5,3.404e-19
335.5,3.493e-19
336.5,3.579e-19
337.5,3.665e-19
338.5,3.751e-19
339.5,3.837e-19
340.5,3.899e-19
341.5,3.9369999999999997e-19
342.5,3.975e-19
343.5,4.013e-19
344.5,4.0509999999999997e-19
345.5,4.073e-19
346.5,4.0789999999999996e-19
347.5,4.085e-19
348.5,4.091e-19
349.5,4.0969999999999998e-19
350.5,4.203e-19
351.5,4.409e-19
352.5,4.615e-19
353.5,4.821e-19
354.5,5.027e-19
355.5,5.068e-19
356.5,4.944e-19
357.5,4.82e-19
358.5,4.696e-19
359.5,4.572000000000001e-19
360.5,4.637000000000001e-19
361.5,4.891000000000001e-19
362.5,5.145e-19
363.5,5.399e-19
364.5,5.653e-19
365.5,5.744e-19
366.5,5.6720000000000005e-19
367.5,5.6e-19
368.5,5.528e-19
369.5,5.456e-19
370.5,5.413e-19
371.5,5.399e-19
372.5,5.385000000000001e-19
373.5,5.371e-19
374.5,5.357000000000001e-19
375.5,5.414000000000001e-19
376.5,5.542e-19
377.5,5.6699999999999995e-19
